徐汇区	寿益坊	74.220	121.42348029079373	31.15755817489232
浦东新区	瀚龙苑	48.231	121.67250324426732	31.200194524108888
浦东新区	御水豪庭	83.478	121.52597605117671	31.219966135249365
崇明区	北门一村	19.777	121.40685660834828	31.63187183746111
崇明区	宝岛世纪园	21.589	121.4031298981096	31.634274305636232
崇明区	八一路公房	18.335	121.4034380168995	31.631902428837293
崇明区	北门二村	18.610	121.40843358367106	31.631298362571577
崇明区	白港新村	9.604	121.33840213526592	31.835599975365863
崇明区	北门路公房	22.301	121.40549552817856	31.632188326585492
崇明区	北沿公路公房	9.604	121.60918815666864	31.646137538132525
崇明区	崇明新城明珠花苑	15.076	121.41889812421789	31.645834207286327
崇明区	长乐一村	8.747	121.41969797544397	31.766742972479324
崇明区	崇明岛农场	8.837	121.41825897984754	31.76742397279282
崇明区	长乐二村	7.707	121.4226048022437	31.768258542404713
崇明区	川心街公房	18.321	121.40627989621089	31.63557531856816
崇明区	崇安路公房	21.422	121.40284253017695	31.623575357990365
崇明区	陈仓门弄小区	19.481	121.40157403296631	31.62772299932263
崇明区	长江二村	9.068	121.54293902361329	31.68124691784546
崇明区	大华凤凰佳苑	25.143	121.70463203913718	31.3999870287909
崇明区	东门新村	17.510	121.41270799077918	31.636510926656882
崇明区	东风三村	9.665	121.50241502476936	31.708756971303714
崇明区	东门新村二期	21.631	121.41290274341375	31.637549745630988
崇明区	东风四村	9.390	121.50233507557897	31.706468960676965
崇明区	东门路公房	21.012	121.40964884639887	31.630449757225858
崇明区	东风二村(崇明)	9.676	121.50032736276417	31.70865505958357
崇明区	富源花苑	10.931	121.5253463390142	31.583384121300167
崇明区	富景名城	12.962	121.53345255810571	31.59014527986743
崇明区	凤辰乐苑	23.386	121.7026120195369	31.40123686278454
崇明区	风伟新村	10.300	121.33840213526592	31.835599975365863
崇明区	富民街公房	19.495	121.40343828639116	31.626533794221885
崇明区	风伟三村	8.823	121.50241502476936	31.708756971303714
崇明区	风伟四村	4.949	121.49812238205936	31.683243026998205
崇明区	甘霖坊	18.488	121.40732723060496	31.643071368291963
崇明区	观潮新村	18.302	121.33840213526592	31.835599975365863
崇明区	桂林新村	8.925	121.33840213526592	31.835599975365863
崇明区	供销新村(崇明)	7.893	121.33840213526592	31.835599975365863
崇明区	广安苑一期	19.316	121.40453152419681	31.636530833108694
崇明区	广安苑二期	20.778	121.4052693923427	31.637658192245535
崇明区	管弄小区(崇明)	19.956	121.40576498749256	31.630548942879376
崇明区	工商大楼(崇明)	9.329	121.54702514588651	31.680325285243743
崇明区	海岛星城	17.417	121.44414473108415	31.632771281168715
崇明区	海鸥新村	8.707	121.33840213526592	31.835599975365863
崇明区	洪联新村	8.125	121.33840213526592	31.835599975365863
崇明区	寒山寺小区	15.681	121.40881707029327	31.629523650000305
崇明区	洪中新村	7.774	121.33840213526592	31.835599975365863
崇明区	寒山寺路158弄小区	19.500	121.41120051510795	31.62909160169934
崇明区	寒山寺路公房	21.368	121.41217655323948	31.62865130809053
崇明区	金月湾	26.584	121.39857899256549	31.63697061856424
崇明区	酱园弄	21.212	121.40731609161664	31.629960548068887
崇明区	嘉年花苑	20.194	121.4079469413573	31.636133845459653
崇明区	界河新村	6.946	121.32987703631512	31.822220948247242
崇明区	康复路公房	11.825	121.52901034752831	31.585478556191127
崇明区	利民新村	9.014	121.33840213526592	31.835599975365863
崇明区	利民路公房	18.889	121.40887267540433	31.645014740213472
崇明区	明南佳苑	14.662	121.43072719083439	31.654123840506493
崇明区	湄洲新村	19.342	121.33840213526592	31.835599975365863
崇明区	明华二村	10.315	121.54614399801177	31.67580494956182
崇明区	湄洲新村西区	20.586	121.33840213526592	31.835599975365863
崇明区	明华一村	9.032	121.5459971250609	31.67755234224468
崇明区	民主街公房	11.309	121.54089895742723	31.586270197750277
崇明区	南坝新村	7.501	121.33840213526592	31.835599975365863
崇明区	南门路公房	21.385	121.39672178095752	31.625705892636518
崇明区	南门新村(崇明)	12.825	121.33840213526592	31.835599975365863
崇明区	南门港街公房	17.416	121.40447286484701	31.623983688874578
崇明区	沁园村小区	20.456	121.40713157966488	31.62672711507985
崇明区	前进农场海燕新村	8.996	121.33840213526592	31.835599975365863
崇明区	前哨二村	10.308	121.91462280972726	31.51681541491308
崇明区	前哨四村	9.010	121.87507800520228	31.531186093990318
崇明区	前进农场西苑新村	15.008	121.58996432892455	31.6538713301422
崇明区	人民路公房	20.792	121.39705671147202	31.629797252585195
崇明区	施翘路公房	23.011	121.39141051459586	31.63739964177872
崇明区	少年弄公房	17.593	121.40140380407217	31.626868780961942
崇明区	天赐景城	24.538	121.41850996640702	31.63621494257424
崇明区	同心弄小区	21.552	121.40688355751358	31.638168834970717
崇明区	体北新村	8.596	121.33840213526592	31.835599975365863
崇明区	文宸花苑	16.096	121.41538530052111	31.6516076198577
崇明区	物华小区	22.636	121.70832802732744	31.39852288314197
崇明区	万安仓街公房	18.555	121.40542857207906	31.629079601405905
崇明区	吴家弄小区	19.350	121.40457760726947	31.63392420419922
崇明区	小港新村	17.209	121.33840213526592	31.835599975365863
崇明区	新世纪花苑(崇明)	22.498	121.39840400265216	31.63569391297253
崇明区	西门北村	19.845	121.39782172102058	31.631585830661194
崇明区	西门南村	19.183	121.39695871891715	31.627627762015933
崇明区	新崇南路小区	23.406	121.40669383538989	31.62500865906699
崇明区	新崇西路小区	17.153	121.40117527515044	31.63028875830912
崇明区	新崇中路小区	20.291	121.39985171181203	31.627521840182276
崇明区	兴贤街小区	21.816	121.40451984622518	31.627062254850554
